mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2021,06,0,0,8219
53394519,13,13101,2021,06,0,1,3593
53394519,13,13101,2021,06,0,2,5603
53394519,13,13101,2021,06,1,0,41184
53394519,13,13101,2021,06,1,1,9486
53394519,13,13101,2021,06,1,2,24052
53394519,13,13101,2021,06,2,0,32393
53394519,13,13101,2021,06,2,1,7915
53394519,13,13101,2021,06,2,2,19132
53394528,13,13101,2021,06,0,0,20793
53394528,13,13101,2021,06,0,1,12520
53394528,13,13101,2021,06,0,2,16670
53394528,13,13101,2021,06,1,0,72132
53394528,13,13101,2021,06,1,1,21381
53394528,13,13101,2021,06,1,2,45027
53394528,13,13101,2021,06,2,0,58442
53394528,13,13101,2021,06,2,1,19018
53394528,13,13101,2021,06,2,2,37465
53394529,13,13101,2021,06,0,0,10386
53394529,13,13101,2021,06,0,1,6838
53394529,13,13101,2021,06,0,2,8318
53394529,13,13101,2021,06,1,0,39590
53394529,13,13101,2021,06,1,1,10879
53394529,13,13101,2021,06,1,2,23847
53394529,13,13101,2021,06,2,0,31802
53394529,13,13101,2021,06,2,1,9801
53394529,13,13101,2021,06,2,2,19706
53394539,13,13101,2021,06,0,0,13382
53394539,13,13101,2021,06,0,1,8238
53394539,13,13101,2021,06,0,2,10425
53394539,13,13101,2021,06,1,0,47858
53394539,13,13101,2021,06,1,1,12532
53394539,13,13101,2021,06,1,2,28230
53394539,13,13101,2021,06,2,0,38664
53394539,13,13101,2021,06,2,1,11387
53394539,13,13101,2021,06,2,2,23482
53394600,13,13101,2021,06,0,0,44835
53394600,13,13101,2021,06,0,1,15126
53394600,13,13101,2021,06,0,2,28041
53394600,13,13101,2021,06,1,0,144733
53394600,13,13101,2021,06,1,1,30463
53394600,13,13101,2021,06,1,2,86667
53394600,13,13101,2021,06,2,0,118093
53394600,13,13101,2021,06,2,1,26373
53394600,13,13101,2021,06,2,2,71033
53394610,13,13101,2021,06,0,0,10549
53394610,13,13101,2021,06,0,1,2694
