mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2019,01,0,0,13533
53394519,13,13101,2019,01,0,1,5818
53394519,13,13101,2019,01,0,2,8804
53394519,13,13101,2019,01,1,0,63530
53394519,13,13101,2019,01,1,1,9382
53394519,13,13101,2019,01,1,2,34246
53394519,13,13101,2019,01,2,0,47402
53394519,13,13101,2019,01,2,1,8232
53394519,13,13101,2019,01,2,2,26039
53394528,13,13101,2019,01,0,0,27561
53394528,13,13101,2019,01,0,1,13914
53394528,13,13101,2019,01,0,2,20436
53394528,13,13101,2019,01,1,0,95414
53394528,13,13101,2019,01,1,1,19062
53394528,13,13101,2019,01,1,2,57219
53394528,13,13101,2019,01,2,0,73526
53394528,13,13101,2019,01,2,1,17401
53394528,13,13101,2019,01,2,2,45354
53394529,13,13101,2019,01,0,0,14187
53394529,13,13101,2019,01,0,1,8294
53394529,13,13101,2019,01,0,2,10936
53394529,13,13101,2019,01,1,0,58546
53394529,13,13101,2019,01,1,1,11246
53394529,13,13101,2019,01,1,2,33267
53394529,13,13101,2019,01,2,0,44237
53394529,13,13101,2019,01,2,1,10294
53394529,13,13101,2019,01,2,2,26063
53394539,13,13101,2019,01,0,0,23995
53394539,13,13101,2019,01,0,1,10376
53394539,13,13101,2019,01,0,2,16610
53394539,13,13101,2019,01,1,0,78900
53394539,13,13101,2019,01,1,1,12636
53394539,13,13101,2019,01,1,2,44069
53394539,13,13101,2019,01,2,0,61189
53394539,13,13101,2019,01,2,1,11907
53394539,13,13101,2019,01,2,2,35212
53394600,13,13101,2019,01,0,0,63299
53394600,13,13101,2019,01,0,1,24841
53394600,13,13101,2019,01,0,2,44164
53394600,13,13101,2019,01,1,0,226869
53394600,13,13101,2019,01,1,1,33986
53394600,13,13101,2019,01,1,2,138944
53394600,13,13101,2019,01,2,0,174105
53394600,13,13101,2019,01,2,1,31036
53394600,13,13101,2019,01,2,2,108370
53394610,13,13101,2019,01,0,0,13894
53394610,13,13101,2019,01,0,1,3237
53394610,13,13101,2019,01,0,2,8020
53394610,13,13101,2019,01,1,0,80079
53394610,13,13101,2019,01,1,1,7662
53394610,13,13101,2019,01,1,2,41578
53394610,13,13101,2019,01,2,0,58729
53394610,13,13101,2019,01,2,1,6235
53394610,13,13101,2019,01,2,2,30753
53394620,13,13101,2019,01,0,0,10193
53394620,13,13101,2019,01,0,1,3025
