mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2019,11,0,0,18470
53394519,13,13101,2019,11,0,1,7002
53394519,13,13101,2019,11,0,2,11200
53394519,13,13101,2019,11,1,0,72150
53394519,13,13101,2019,11,1,1,11347
53394519,13,13101,2019,11,1,2,39108
53394519,13,13101,2019,11,2,0,54257
53394519,13,13101,2019,11,2,1,9899
53394519,13,13101,2019,11,2,2,29805
53394528,13,13101,2019,11,0,0,30111
53394528,13,13101,2019,11,0,1,13371
53394528,13,13101,2019,11,0,2,21347
53394528,13,13101,2019,11,1,0,102782
53394528,13,13101,2019,11,1,1,20955
53394528,13,13101,2019,11,1,2,62015
53394528,13,13101,2019,11,2,0,78559
53394528,13,13101,2019,11,2,1,18427
53394528,13,13101,2019,11,2,2,48459
53394529,13,13101,2019,11,0,0,16039
53394529,13,13101,2019,11,0,1,8754
53394529,13,13101,2019,11,0,2,11563
53394529,13,13101,2019,11,1,0,65739
53394529,13,13101,2019,11,1,1,12133
53394529,13,13101,2019,11,1,2,37042
53394529,13,13101,2019,11,2,0,49172
53394529,13,13101,2019,11,2,1,11007
53394529,13,13101,2019,11,2,2,28549
53394539,13,13101,2019,11,0,0,20433
53394539,13,13101,2019,11,0,1,8966
53394539,13,13101,2019,11,0,2,13840
53394539,13,13101,2019,11,1,0,85875
53394539,13,13101,2019,11,1,1,13742
53394539,13,13101,2019,11,1,2,46860
53394539,13,13101,2019,11,2,0,64061
53394539,13,13101,2019,11,2,1,12150
53394539,13,13101,2019,11,2,2,35853
53394600,13,13101,2019,11,0,0,76939
53394600,13,13101,2019,11,0,1,28431
53394600,13,13101,2019,11,0,2,52256
53394600,13,13101,2019,11,1,0,244201
53394600,13,13101,2019,11,1,1,41720
53394600,13,13101,2019,11,1,2,152437
53394600,13,13101,2019,11,2,0,188447
53394600,13,13101,2019,11,2,1,37291
53394600,13,13101,2019,11,2,2,119044
53394610,13,13101,2019,11,0,0,24697
53394610,13,13101,2019,11,0,1,4723
53394610,13,13101,2019,11,0,2,12948
53394610,13,13101,2019,11,1,0,89345
53394610,13,13101,2019,11,1,1,10408
53394610,13,13101,2019,11,1,2,48099
53394610,13,13101,2019,11,2,0,67796
53394610,13,13101,2019,11,2,1,8513
53394610,13,13101,2019,11,2,2,36382
53394620,13,13101,2019,11,0,0,16335
53394620,13,13101,2019,11,0,1,3677
53394620,13,13101,2019,11,0,2,8608
53394620,13,13101,2019,11,1,0,55890
53394620,13,13101,2019,11,1,1,6253
53394620,13,13101,2019,11,1,2,29248
53394620,13,13101,2019,11,2,0,42705
53394620,13,13101,2019,11,2,1,5394
53394620,13,13101,2019,11,2,2,22368
53394621,13,13101,2019,11,0,0,62802
53394621,13,13101,2019,11,0,1,19987
53394621,13,13101,2019,11,0,2,39841
53394621,13,13101,2019,11,1,0,344210
53394621,13,13101,2019,11,1,1,41832
53394621,13,13101,2019,11,1,2,187740
53394621,13,13101,2019,11,2,0,250407
53394621,13,13101,2019,11,2,1,34551
53394621,13,13101,2019,11,2,2,138440
53394630,13,13101,2019,11,0,0,43284
53394630,13,13101,2019,11,0,1,12726
53394630,13,13101,2019,11,0,2,25546
53394630,13,13101,2019,11,1,0,154748
53394630,13,13101,2019,11,1,1,21834
53394630,13,13101,2019,11,1,2,84711
53394630,13,13101,2019,11,2,0,117593
53394630,13,13101,2019,11,2,1,18798
53394630,13,13101,2019,11,2,2,64989
53394631,13,13101,2019,11,0,0,95357
53394631,13,13101,2019,11,0,1,33816
53394631,13,13101,2019,11,0,2,64473
53394631,13,13101,2019,11,1,0,217219
53394631,13,13101,2019,11,1,1,43321
53394631,13,13101,2019,11,1,2,136181
53394631,13,13101,2019,11,2,0,176599
53394631,13,13101,2019,11,2,1,40153
53394631,13,13101,2019,11,2,2,112278
53394632,13,13101,2019,11,0,0,38932
53394632,13,13101,2019,11,0,1,27815
53394632,13,13101,2019,11,0,2,33689
53394632,13,13101,2019,11,1,0,109061
53394632,13,13101,2019,11,1,1,33346
53394632,13,13101,2019,11,1,2,71917
53394632,13,13101,2019,11,2,0,85685
53394632,13,13101,2019,11,2,1,31502
53394632,13,13101,2019,11,2,2,59174
53393671,13,13102,2019,11,0,0,439
53393671,13,13102,2019,11,0,1,114
53393671,13,13102,2019,11,0,2,270
53393671,13,13102,2019,11,1,0,465
53393671,13,13102,2019,11,1,1,67
53393671,13,13102,2019,11,1,2,266
53393671,13,13102,2019,11,2,0,456
53393671,13,13102,2019,11,2,1,83
53393671,13,13102,2019,11,2,2,267
53393681,13,13102,2019,11,0,0,8743
53393681,13,13102,2019,11,0,1,10154
53393681,13,13102,2019,11,0,2,9522
53393681,13,13102,2019,11,1,0,17485
53393681,13,13102,2019,11,1,1,10874
53393681,13,13102,2019,11,1,2,13452
53393681,13,13102,2019,11,2,0,14571
53393681,13,13102,2019,11,2,1,10634
53393681,13,13102,2019,11,2,2,12142
53393682,13,13102,2019,11,0,0,14493
53393682,13,13102,2019,11,0,1,12322
53393682,13,13102,2019,11,0,2,13192
53393682,13,13102,2019,11,1,0,68101
53393682,13,13102,2019,11,1,1,16014
53393682,13,13102,2019,11,1,2,39437
53393682,13,13102,2019,11,2,0,50232
53393682,13,13102,2019,11,2,1,14783
53393682,13,13102,2019,11,2,2,30689
53393691,13,13102,2019,11,0,0,17941
53393691,13,13102,2019,11,0,1,7475
53393691,13,13102,2019,11,0,2,11368
53393691,13,13102,2019,11,1,0,63266
53393691,13,13102,2019,11,1,1,11930
