mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2021,08,0,0,8737
53394519,13,13101,2021,08,0,1,3865
53394519,13,13101,2021,08,0,2,6125
53394519,13,13101,2021,08,1,0,36587
53394519,13,13101,2021,08,1,1,9071
53394519,13,13101,2021,08,1,2,21365
53394519,13,13101,2021,08,2,0,27603
53394519,13,13101,2021,08,2,1,7391
53394519,13,13101,2021,08,2,2,16449
53394528,13,13101,2021,08,0,0,19293
53394528,13,13101,2021,08,0,1,12509
53394528,13,13101,2021,08,0,2,15796
53394528,13,13101,2021,08,1,0,59886
53394528,13,13101,2021,08,1,1,19652
53394528,13,13101,2021,08,1,2,38456
53394528,13,13101,2021,08,2,0,46791
53394528,13,13101,2021,08,2,1,17348
53394528,13,13101,2021,08,2,2,31146
53394529,13,13101,2021,08,0,0,9235
53394529,13,13101,2021,08,0,1,6333
53394529,13,13101,2021,08,0,2,7660
53394529,13,13101,2021,08,1,0,32038
53394529,13,13101,2021,08,1,1,10416
53394529,13,13101,2021,08,1,2,19960
53394529,13,13101,2021,08,2,0,24683
53394529,13,13101,2021,08,2,1,9099
53394529,13,13101,2021,08,2,2,15992
53394539,13,13101,2021,08,0,0,12960
53394539,13,13101,2021,08,0,1,7995
53394539,13,13101,2021,08,0,2,10166
53394539,13,13101,2021,08,1,0,39487
53394539,13,13101,2021,08,1,1,11835
53394539,13,13101,2021,08,1,2,23987
53394539,13,13101,2021,08,2,0,30930
53394539,13,13101,2021,08,2,1,10596
53394539,13,13101,2021,08,2,2,19529
53394600,13,13101,2021,08,0,0,37637
53394600,13,13101,2021,08,0,1,14716
53394600,13,13101,2021,08,0,2,24653
53394600,13,13101,2021,08,1,0,123693
53394600,13,13101,2021,08,1,1,28943
53394600,13,13101,2021,08,1,2,74770
53394600,13,13101,2021,08,2,0,95933
53394600,13,13101,2021,08,2,1,24354
53394600,13,13101,2021,08,2,2,58603
53394610,13,13101,2021,08,0,0,9206
53394610,13,13101,2021,08,0,1,2666
53394610,13,13101,2021,08,0,2,5690
53394610,13,13101,2021,08,1,0,45615
53394610,13,13101,2021,08,1,1,7929
53394610,13,13101,2021,08,1,2,25483
53394610,13,13101,2021,08,2,0,33870
53394610,13,13101,2021,08,2,1,6231
53394610,13,13101,2021,08,2,2,19098
53394620,13,13101,2021,08,0,0,7391
53394620,13,13101,2021,08,0,1,2881
53394620,13,13101,2021,08,0,2,4931
53394620,13,13101,2021,08,1,0,28521
53394620,13,13101,2021,08,1,1,6291
53394620,13,13101,2021,08,1,2,16604
53394620,13,13101,2021,08,2,0,21704
53394620,13,13101,2021,08,2,1,5191
53394620,13,13101,2021,08,2,2,12839
53394621,13,13101,2021,08,0,0,35846
53394621,13,13101,2021,08,0,1,14519
53394621,13,13101,2021,08,0,2,23616
53394621,13,13101,2021,08,1,0,172988
53394621,13,13101,2021,08,1,1,36341
53394621,13,13101,2021,08,1,2,98609
53394621,13,13101,2021,08,2,0,128749
53394621,13,13101,2021,08,2,1,29301
53394621,13,13101,2021,08,2,2,74418
53394630,13,13101,2021,08,0,0,21071
53394630,13,13101,2021,08,0,1,9599
53394630,13,13101,2021,08,0,2,14452
53394630,13,13101,2021,08,1,0,82202
53394630,13,13101,2021,08,1,1,19265
53394630,13,13101,2021,08,1,2,47682
53394630,13,13101,2021,08,2,0,62482
53394630,13,13101,2021,08,2,1,16147
53394630,13,13101,2021,08,2,2,36963
53394631,13,13101,2021,08,0,0,52060
53394631,13,13101,2021,08,0,1,20846
53394631,13,13101,2021,08,0,2,35121
53394631,13,13101,2021,08,1,0,128862
53394631,13,13101,2021,08,1,1,35330
53394631,13,13101,2021,08,1,2,80518
53394631,13,13101,2021,08,2,0,104088
53394631,13,13101,2021,08,2,1,30658
53394631,13,13101,2021,08,2,2,65874
53394632,13,13101,2021,08,0,0,27726
53394632,13,13101,2021,08,0,1,22126
53394632,13,13101,2021,08,0,2,24752
53394632,13,13101,2021,08,1,0,70244
53394632,13,13101,2021,08,1,1,27935
53394632,13,13101,2021,08,1,2,48090
53394632,13,13101,2021,08,2,0,56528
53394632,13,13101,2021,08,2,1,26061
53394632,13,13101,2021,08,2,2,40561
53393671,13,13102,2021,08,0,0,883
53393671,13,13102,2021,08,0,1,417
53393671,13,13102,2021,08,0,2,671
53393671,13,13102,2021,08,1,0,572
53393671,13,13102,2021,08,1,1,406
53393671,13,13102,2021,08,1,2,494
53393671,13,13102,2021,08,2,0,672
53393671,13,13102,2021,08,2,1,410
53393671,13,13102,2021,08,2,2,551
53393681,13,13102,2021,08,0,0,10734
53393681,13,13102,2021,08,0,1,10693
53393681,13,13102,2021,08,0,2,10759
53393681,13,13102,2021,08,1,0,15416
53393681,13,13102,2021,08,1,1,10714
53393681,13,13102,2021,08,1,2,12732
53393681,13,13102,2021,08,2,0,13906
53393681,13,13102,2021,08,2,1,10707
53393681,13,13102,2021,08,2,2,12095
53393682,13,13102,2021,08,0,0,17821
53393682,13,13102,2021,08,0,1,14358
53393682,13,13102,2021,08,0,2,16096
53393682,13,13102,2021,08,1,0,35877
53393682,13,13102,2021,08,1,1,16170
53393682,13,13102,2021,08,1,2,25162
53393682,13,13102,2021,08,2,0,30053
53393682,13,13102,2021,08,2,1,15586
53393682,13,13102,2021,08,2,2,22237
53393691,13,13102,2021,08,0,0,10089
53393691,13,13102,2021,08,0,1,6765
53393691,13,13102,2021,08,0,2,8225
53393691,13,13102,2021,08,1,0,32950
53393691,13,13102,2021,08,1,1,10449
53393691,13,13102,2021,08,1,2,20094
53393691,13,13102,2021,08,2,0,25575
53393691,13,13102,2021,08,2,1,9261
53393691,13,13102,2021,08,2,2,16265
53393692,13,13102,2021,08,0,0,21390
53393692,13,13102,2021,08,0,1,21692
53393692,13,13102,2021,08,0,2,21771
53393692,13,13102,2021,08,1,0,25687
53393692,13,13102,2021,08,1,1,21278
53393692,13,13102,2021,08,1,2,23628
53393692,13,13102,2021,08,2,0,24301
53393692,13,13102,2021,08,2,1,21412
53393692,13,13102,2021,08,2,2,23029
53394601,13,13102,2021,08,0,0,66846
53394601,13,13102,2021,08,0,1,26514
53394601,13,13102,2021,08,0,2,42160
53394601,13,13102,2021,08,1,0,123081
53394601,13,13102,2021,08,1,1,36584
53394601,13,13102,2021,08,1,2,74926
53394601,13,13102,2021,08,2,0,104941
53394601,13,13102,2021,08,2,1,33336
53394601,13,13102,2021,08,2,2,64356
53394602,13,13102,2021,08,0,0,20341
53394602,13,13102,2021,08,0,1,20163
53394602,13,13102,2021,08,0,2,20295
53394602,13,13102,2021,08,1,0,47302
53394602,13,13102,2021,08,1,1,23489
53394602,13,13102,2021,08,1,2,33911
53394602,13,13102,2021,08,2,0,38605
53394602,13,13102,2021,08,2,1,22416
53394602,13,13102,2021,08,2,2,29519
53394611,13,13102,2021,08,0,0,65226
53394611,13,13102,2021,08,0,1,20450
53394611,13,13102,2021,08,0,2,39565
53394611,13,13102,2021,08,1,0,173919
53394611,13,13102,2021,08,1,1,39314
53394611,13,13102,2021,08,1,2,102474
53394611,13,13102,2021,08,2,0,138857
53394611,13,13102,2021,08,2,1,33229
53394611,13,13102,2021,08,2,2,82181
53394612,13,13102,2021,08,0,0,21906
53394612,13,13102,2021,08,0,1,15698
53394612,13,13102,2021,08,0,2,18692
53394612,13,13102,2021,08,1,0,87542
53394612,13,13102,2021,08,1,1,25373
53394612,13,13102,2021,08,1,2,52709
53394612,13,13102,2021,08,2,0,66369
53394612,13,13102,2021,08,2,1,22252
53394612,13,13102,2021,08,2,2,41736
53394622,13,13102,2021,08,0,0,25927
53394622,13,13102,2021,08,0,1,21320
53394622,13,13102,2021,08,0,2,23179
53394622,13,13102,2021,08,1,0,96514
53394622,13,13102,2021,08,1,1,31956
53394622,13,13102,2021,08,1,2,60356
53394622,13,13102,2021,08,2,0,73744
53394622,13,13102,2021,08,2,1,28525
53394622,13,13102,2021,08,2,2,48364
53393558,13,13103,2021,08,0,0,24127
53393558,13,13103,2021,08,0,1,20677
53393558,13,13103,2021,08,0,2,22064
53393558,13,13103,2021,08,1,0,36945
53393558,13,13103,2021,08,1,1,23373
53393558,13,13103,2021,08,1,2,29123
53393558,13,13103,2021,08,2,0,32810
53393558,13,13103,2021,08,2,1,22503
53393558,13,13103,2021,08,2,2,26846
53393559,13,13103,2021,08,0,0,21699
53393559,13,13103,2021,08,0,1,12347
53393559,13,13103,2021,08,0,2,17227
53393559,13,13103,2021,08,1,0,72744
53393559,13,13103,2021,08,1,1,21232
53393559,13,13103,2021,08,1,2,47571
53393559,13,13103,2021,08,2,0,56278
53393559,13,13103,2021,08,2,1,18366
53393559,13,13103,2021,08,2,2,37783
53393567,13,13103,2021,08,0,0,19565
53393567,13,13103,2021,08,0,1,15028
53393567,13,13103,2021,08,0,2,16864
53393567,13,13103,2021,08,1,0,26892
53393567,13,13103,2021,08,1,1,16627
53393567,13,13103,2021,08,1,2,21388
53393567,13,13103,2021,08,2,0,24529
53393567,13,13103,2021,08,2,1,16111
53393567,13,13103,2021,08,2,2,19928
53393568,13,13103,2021,08,0,0,10418
53393568,13,13103,2021,08,0,1,10433
53393568,13,13103,2021,08,0,2,10306
53393568,13,13103,2021,08,1,0,12651
53393568,13,13103,2021,08,1,1,10743
53393568,13,13103,2021,08,1,2,11540
53393568,13,13103,2021,08,2,0,11931
53393568,13,13103,2021,08,2,1,10643
53393568,13,13103,2021,08,2,2,11142
53393569,13,13103,2021,08,0,0,13184
53393569,13,13103,2021,08,0,1,11422
53393569,13,13103,2021,08,0,2,12282
53393569,13,13103,2021,08,1,0,36678
53393569,13,13103,2021,08,1,1,15038
53393569,13,13103,2021,08,1,2,25344
53393569,13,13103,2021,08,2,0,29099
53393569,13,13103,2021,08,2,1,13872
53393569,13,13103,2021,08,2,2,21131
53393578,13,13103,2021,08,0,0,16039
53393578,13,13103,2021,08,0,1,15377
53393578,13,13103,2021,08,0,2,15813
53393578,13,13103,2021,08,1,0,23345
53393578,13,13103,2021,08,1,1,16967
53393578,13,13103,2021,08,1,2,20100
53393578,13,13103,2021,08,2,0,20988
53393578,13,13103,2021,08,2,1,16454
53393578,13,13103,2021,08,2,2,18717
53393579,13,13103,2021,08,0,0,22143
53393579,13,13103,2021,08,0,1,16228
53393579,13,13103,2021,08,0,2,19121
53393579,13,13103,2021,08,1,0,65102
53393579,13,13103,2021,08,1,1,24462
53393579,13,13103,2021,08,1,2,43454
53393579,13,13103,2021,08,2,0,51245
53393579,13,13103,2021,08,2,1,21806
53393579,13,13103,2021,08,2,2,35605
53393588,13,13103,2021,08,0,0,16781
53393588,13,13103,2021,08,0,1,13068
53393588,13,13103,2021,08,0,2,15069
53393588,13,13103,2021,08,1,0,20441
53393588,13,13103,2021,08,1,1,13616
53393588,13,13103,2021,08,1,2,16833
53393588,13,13103,2021,08,2,0,19260
53393588,13,13103,2021,08,2,1,13439
53393588,13,13103,2021,08,2,2,16264
53393589,13,13103,2021,08,0,0,16994
53393589,13,13103,2021,08,0,1,16476
53393589,13,13103,2021,08,0,2,16717
53393589,13,13103,2021,08,1,0,37882
53393589,13,13103,2021,08,1,1,18758
53393589,13,13103,2021,08,1,2,27097
53393589,13,13103,2021,08,2,0,31144
53393589,13,13103,2021,08,2,1,18022
53393589,13,13103,2021,08,2,2,23748
53393597,13,13103,2021,08,0,0,14882
53393597,13,13103,2021,08,0,1,10444
53393597,13,13103,2021,08,0,2,12327
53393597,13,13103,2021,08,1,0,26263
53393597,13,13103,2021,08,1,1,12294
53393597,13,13103,2021,08,1,2,18884
53393597,13,13103,2021,08,2,0,22591
53393597,13,13103,2021,08,2,1,11697
53393597,13,13103,2021,08,2,2,16769
53393598,13,13103,2021,08,0,0,28734
53393598,13,13103,2021,08,0,1,18620
53393598,13,13103,2021,08,0,2,22975
53393598,13,13103,2021,08,1,0,49798
53393598,13,13103,2021,08,1,1,21053
53393598,13,13103,2021,08,1,2,35015
