mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2021,04,0,0,8445
53394519,13,13101,2021,04,0,1,4019
53394519,13,13101,2021,04,0,2,5860
53394519,13,13101,2021,04,1,0,42302
53394519,13,13101,2021,04,1,1,8723
53394519,13,13101,2021,04,1,2,24567
53394519,13,13101,2021,04,2,0,32145
53394519,13,13101,2021,04,2,1,7312
53394519,13,13101,2021,04,2,2,18955
53394528,13,13101,2021,04,0,0,21763
53394528,13,13101,2021,04,0,1,13357
53394528,13,13101,2021,04,0,2,17326
53394528,13,13101,2021,04,1,0,73379
53394528,13,13101,2021,04,1,1,20267
53394528,13,13101,2021,04,1,2,45651
53394528,13,13101,2021,04,2,0,57894
53394528,13,13101,2021,04,2,1,18194
53394528,13,13101,2021,04,2,2,37154
53394529,13,13101,2021,04,0,0,10175
53394529,13,13101,2021,04,0,1,6291
53394529,13,13101,2021,04,0,2,8160
53394529,13,13101,2021,04,1,0,41136
53394529,13,13101,2021,04,1,1,11128
53394529,13,13101,2021,04,1,2,24786
53394529,13,13101,2021,04,2,0,31848
53394529,13,13101,2021,04,2,1,9677
53394529,13,13101,2021,04,2,2,19798
53394539,13,13101,2021,04,0,0,15028
53394539,13,13101,2021,04,0,1,7696
53394539,13,13101,2021,04,0,2,10835
53394539,13,13101,2021,04,1,0,51570
53394539,13,13101,2021,04,1,1,12795
53394539,13,13101,2021,04,1,2,30159
53394539,13,13101,2021,04,2,0,40607
53394539,13,13101,2021,04,2,1,11266
53394539,13,13101,2021,04,2,2,24362
53394600,13,13101,2021,04,0,0,47145
53394600,13,13101,2021,04,0,1,16461
53394600,13,13101,2021,04,0,2,30015
53394600,13,13101,2021,04,1,0,154705
53394600,13,13101,2021,04,1,1,31379
53394600,13,13101,2021,04,1,2,93276
53394600,13,13101,2021,04,2,0,122437
53394600,13,13101,2021,04,2,1,26904
53394600,13,13101,2021,04,2,2,74298
53394610,13,13101,2021,04,0,0,11006
53394610,13,13101,2021,04,0,1,2769
53394610,13,13101,2021,04,0,2,6351
53394610,13,13101,2021,04,1,0,59143
53394610,13,13101,2021,04,1,1,8528
53394610,13,13101,2021,04,1,2,32834
53394610,13,13101,2021,04,2,0,44702
53394610,13,13101,2021,04,2,1,6800
53394610,13,13101,2021,04,2,2,24889
53394620,13,13101,2021,04,0,0,8146
53394620,13,13101,2021,04,0,1,2606
53394620,13,13101,2021,04,0,2,5113
53394620,13,13101,2021,04,1,0,33893
53394620,13,13101,2021,04,1,1,5401
53394620,13,13101,2021,04,1,2,18517
53394620,13,13101,2021,04,2,0,26169
53394620,13,13101,2021,04,2,1,4562
53394620,13,13101,2021,04,2,2,14496
53394621,13,13101,2021,04,0,0,38344
53394621,13,13101,2021,04,0,1,13571
53394621,13,13101,2021,04,0,2,24437
53394621,13,13101,2021,04,1,0,199772
53394621,13,13101,2021,04,1,1,36207
53394621,13,13101,2021,04,1,2,113070
53394621,13,13101,2021,04,2,0,151343
53394621,13,13101,2021,04,2,1,29416
53394621,13,13101,2021,04,2,2,86480
53394630,13,13101,2021,04,0,0,25297
53394630,13,13101,2021,04,0,1,10437
53394630,13,13101,2021,04,0,2,16684
53394630,13,13101,2021,04,1,0,102690
53394630,13,13101,2021,04,1,1,20708
53394630,13,13101,2021,04,1,2,58467
53394630,13,13101,2021,04,2,0,79472
53394630,13,13101,2021,04,2,1,17626
53394630,13,13101,2021,04,2,2,45932
53394631,13,13101,2021,04,0,0,61185
53394631,13,13101,2021,04,0,1,22833
53394631,13,13101,2021,04,0,2,40405
53394631,13,13101,2021,04,1,0,151415
53394631,13,13101,2021,04,1,1,37995
53394631,13,13101,2021,04,1,2,94846
