mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2020,11,0,0,9173
53394519,13,13101,2020,11,0,1,4367
53394519,13,13101,2020,11,0,2,6549
53394519,13,13101,2020,11,1,0,49430
53394519,13,13101,2020,11,1,1,9122
53394519,13,13101,2020,11,1,2,27787
53394519,13,13101,2020,11,2,0,34669
53394519,13,13101,2020,11,2,1,7378
53394519,13,13101,2020,11,2,2,20000
53394528,13,13101,2020,11,0,0,22584
53394528,13,13101,2020,11,0,1,13539
53394528,13,13101,2020,11,0,2,17880
53394528,13,13101,2020,11,1,0,83871
53394528,13,13101,2020,11,1,1,20822
53394528,13,13101,2020,11,1,2,51250
53394528,13,13101,2020,11,2,0,61399
53394528,13,13101,2020,11,2,1,18152
53394528,13,13101,2020,11,2,2,39014
53394529,13,13101,2020,11,0,0,10669
53394529,13,13101,2020,11,0,1,5953
53394529,13,13101,2020,11,0,2,8123
53394529,13,13101,2020,11,1,0,47064
53394529,13,13101,2020,11,1,1,10468
53394529,13,13101,2020,11,1,2,27295
53394529,13,13101,2020,11,2,0,33719
53394529,13,13101,2020,11,2,1,8813
53394529,13,13101,2020,11,2,2,20265
53394539,13,13101,2020,11,0,0,15958
53394539,13,13101,2020,11,0,1,8070
53394539,13,13101,2020,11,0,2,11660
53394539,13,13101,2020,11,1,0,59193
53394539,13,13101,2020,11,1,1,11359
53394539,13,13101,2020,11,1,2,33054
53394539,13,13101,2020,11,2,0,43340
53394539,13,13101,2020,11,2,1,10153
53394539,13,13101,2020,11,2,2,25209
53394600,13,13101,2020,11,0,0,53811
53394600,13,13101,2020,11,0,1,21647
53394600,13,13101,2020,11,0,2,36379
53394600,13,13101,2020,11,1,0,182175
53394600,13,13101,2020,11,1,1,32998
53394600,13,13101,2020,11,1,2,111164
53394600,13,13101,2020,11,2,0,135108
53394600,13,13101,2020,11,2,1,28836
53394600,13,13101,2020,11,2,2,83743
53394610,13,13101,2020,11,0,0,12487
53394610,13,13101,2020,11,0,1,3318
53394610,13,13101,2020,11,0,2,7237
53394610,13,13101,2020,11,1,0,63125
53394610,13,13101,2020,11,1,1,8898
53394610,13,13101,2020,11,1,2,34476
53394610,13,13101,2020,11,2,0,44558
53394610,13,13101,2020,11,2,1,6852
53394610,13,13101,2020,11,2,2,24488
53394620,13,13101,2020,11,0,0,8335
53394620,13,13101,2020,11,0,1,2940
53394620,13,13101,2020,11,0,2,5542
53394620,13,13101,2020,11,1,0,35378
53394620,13,13101,2020,11,1,1,5147
53394620,13,13101,2020,11,1,2,19487
53394620,13,13101,2020,11,2,0,25462
53394620,13,13101,2020,11,2,1,4338
53394620,13,13101,2020,11,2,2,14374
53394621,13,13101,2020,11,0,0,43328
53394621,13,13101,2020,11,0,1,16638
53394621,13,13101,2020,11,0,2,28957
53394621,13,13101,2020,11,1,0,227318
53394621,13,13101,2020,11,1,1,35850
53394621,13,13101,2020,11,1,2,127152
53394621,13,13101,2020,11,2,0,159855
53394621,13,13101,2020,11,2,1,28806
53394621,13,13101,2020,11,2,2,91147
53394630,13,13101,2020,11,0,0,28098
53394630,13,13101,2020,11,0,1,10959
53394630,13,13101,2020,11,0,2,18028
53394630,13,13101,2020,11,1,0,113102
53394630,13,13101,2020,11,1,1,19280
53394630,13,13101,2020,11,1,2,63157
