mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2021,10,0,0,9748
53394519,13,13101,2021,10,0,1,4820
53394519,13,13101,2021,10,0,2,6976
53394519,13,13101,2021,10,1,0,41301
53394519,13,13101,2021,10,1,1,10374
53394519,13,13101,2021,10,1,2,24523
53394519,13,13101,2021,10,2,0,31123
53394519,13,13101,2021,10,2,1,8582
53394519,13,13101,2021,10,2,2,18863
53394528,13,13101,2021,10,0,0,20832
53394528,13,13101,2021,10,0,1,12891
53394528,13,13101,2021,10,0,2,16533
53394528,13,13101,2021,10,1,0,72061
53394528,13,13101,2021,10,1,1,22598
53394528,13,13101,2021,10,1,2,45963
53394528,13,13101,2021,10,2,0,55535
53394528,13,13101,2021,10,2,1,19466
53394528,13,13101,2021,10,2,2,36469
53394529,13,13101,2021,10,0,0,11533
53394529,13,13101,2021,10,0,1,7592
53394529,13,13101,2021,10,0,2,9103
53394529,13,13101,2021,10,1,0,39327
53394529,13,13101,2021,10,1,1,11743
53394529,13,13101,2021,10,1,2,24190
53394529,13,13101,2021,10,2,0,30361
53394529,13,13101,2021,10,2,1,10404
53394529,13,13101,2021,10,2,2,19323
53394539,13,13101,2021,10,0,0,13798
53394539,13,13101,2021,10,0,1,8028
53394539,13,13101,2021,10,0,2,10423
53394539,13,13101,2021,10,1,0,47352
53394539,13,13101,2021,10,1,1,12696
53394539,13,13101,2021,10,1,2,28416
53394539,13,13101,2021,10,2,0,36528
53394539,13,13101,2021,10,2,1,11190
53394539,13,13101,2021,10,2,2,22612
53394600,13,13101,2021,10,0,0,52623
53394600,13,13101,2021,10,0,1,21211
53394600,13,13101,2021,10,0,2,35282
53394600,13,13101,2021,10,1,0,153396
53394600,13,13101,2021,10,1,1,39164
53394600,13,13101,2021,10,1,2,97750
53394600,13,13101,2021,10,2,0,120889
53394600,13,13101,2021,10,2,1,33372
53394600,13,13101,2021,10,2,2,77599
53394610,13,13101,2021,10,0,0,11928
53394610,13,13101,2021,10,0,1,2988
53394610,13,13101,2021,10,0,2,7322
53394610,13,13101,2021,10,1,0,52784
53394610,13,13101,2021,10,1,1,9341
53394610,13,13101,2021,10,1,2,30182
53394610,13,13101,2021,10,2,0,39605
53394610,13,13101,2021,10,2,1,7292
53394610,13,13101,2021,10,2,2,22808
53394620,13,13101,2021,10,0,0,8747
53394620,13,13101,2021,10,0,1,3173
53394620,13,13101,2021,10,0,2,5715
53394620,13,13101,2021,10,1,0,33673
53394620,13,13101,2021,10,1,1,7249
53394620,13,13101,2021,10,1,2,19403
53394620,13,13101,2021,10,2,0,25633
53394620,13,13101,2021,10,2,1,5934
