mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2020,04,0,0,5651
53394519,13,13101,2020,04,0,1,3360
53394519,13,13101,2020,04,0,2,4421
53394519,13,13101,2020,04,1,0,35811
53394519,13,13101,2020,04,1,1,5834
53394519,13,13101,2020,04,1,2,19949
53394519,13,13101,2020,04,2,0,26763
53394519,13,13101,2020,04,2,1,5092
53394519,13,13101,2020,04,2,2,15291
53394528,13,13101,2020,04,0,0,17854
53394528,13,13101,2020,04,0,1,12512
53394528,13,13101,2020,04,0,2,14953
53394528,13,13101,2020,04,1,0,55481
53394528,13,13101,2020,04,1,1,16023
53394528,13,13101,2020,04,1,2,34967
53394528,13,13101,2020,04,2,0,44193
53394528,13,13101,2020,04,2,1,14970
53394528,13,13101,2020,04,2,2,28963
53394529,13,13101,2020,04,0,0,9507
53394529,13,13101,2020,04,0,1,7049
53394529,13,13101,2020,04,0,2,8166
53394529,13,13101,2020,04,1,0,35294
53394529,13,13101,2020,04,1,1,8819
53394529,13,13101,2020,04,1,2,20932
53394529,13,13101,2020,04,2,0,27558
53394529,13,13101,2020,04,2,1,8288
53394529,13,13101,2020,04,2,2,17102
53394539,13,13101,2020,04,0,0,12430
53394539,13,13101,2020,04,0,1,9311
53394539,13,13101,2020,04,0,2,10596
53394539,13,13101,2020,04,1,0,44030
53394539,13,13101,2020,04,1,1,10928
53394539,13,13101,2020,04,1,2,25565
53394539,13,13101,2020,04,2,0,34550
53394539,13,13101,2020,04,2,1,10443
53394539,13,13101,2020,04,2,2,21075
53394600,13,13101,2020,04,0,0,18605
53394600,13,13101,2020,04,0,1,6760
53394600,13,13101,2020,04,0,2,11872
53394600,13,13101,2020,04,1,0,109863
53394600,13,13101,2020,04,1,1,14546
53394600,13,13101,2020,04,1,2,60546
53394600,13,13101,2020,04,2,0,82485
53394600,13,13101,2020,04,2,1,12210
53394600,13,13101,2020,04,2,2,45944
53394610,13,13101,2020,04,0,0,4188
53394610,13,13101,2020,04,0,1,1522
