mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2020,10,0,0,9316
53394519,13,13101,2020,10,0,1,4047
53394519,13,13101,2020,10,0,2,6313
53394519,13,13101,2020,10,1,0,46533
53394519,13,13101,2020,10,1,1,8196
53394519,13,13101,2020,10,1,2,25835
53394519,13,13101,2020,10,2,0,35728
53394519,13,13101,2020,10,2,1,6992
53394519,13,13101,2020,10,2,2,20168
53394528,13,13101,2020,10,0,0,22170
53394528,13,13101,2020,10,0,1,12532
53394528,13,13101,2020,10,0,2,17262
53394528,13,13101,2020,10,1,0,80847
53394528,13,13101,2020,10,1,1,20049
53394528,13,13101,2020,10,1,2,49354
53394528,13,13101,2020,10,2,0,63812
53394528,13,13101,2020,10,2,1,17867
53394528,13,13101,2020,10,2,2,40037
53394529,13,13101,2020,10,0,0,10806
53394529,13,13101,2020,10,0,1,5905
53394529,13,13101,2020,10,0,2,8190
53394529,13,13101,2020,10,1,0,45517
53394529,13,13101,2020,10,1,1,10236
53394529,13,13101,2020,10,1,2,26512
53394529,13,13101,2020,10,2,0,35439
53394529,13,13101,2020,10,2,1,8979
53394529,13,13101,2020,10,2,2,21193
53394539,13,13101,2020,10,0,0,15990
53394539,13,13101,2020,10,0,1,8001
53394539,13,13101,2020,10,0,2,11489
53394539,13,13101,2020,10,1,0,59101
53394539,13,13101,2020,10,1,1,11114
53394539,13,13101,2020,10,1,2,32986
53394539,13,13101,2020,10,2,0,46584
53394539,13,13101,2020,10,2,1,10210
53394539,13,13101,2020,10,2,2,26745
53394600,13,13101,2020,10,0,0,54474
53394600,13,13101,2020,10,0,1,21829
53394600,13,13101,2020,10,0,2,37144
53394600,13,13101,2020,10,1,0,179984
53394600,13,13101,2020,10,1,1,32216
53394600,13,13101,2020,10,1,2,109195
53394600,13,13101,2020,10,2,0,143545
53394600,13,13101,2020,10,2,1,29200
53394600,13,13101,2020,10,2,2,88277
53394610,13,13101,2020,10,0,0,11314
53394610,13,13101,2020,10,0,1,3237
53394610,13,13101,2020,10,0,2,6775
53394610,13,13101,2020,10,1,0,63094
53394610,13,13101,2020,10,1,1,8187
53394610,13,13101,2020,10,1,2,33945
53394610,13,13101,2020,10,2,0,48061
53394610,13,13101,2020,10,2,1,6750
53394610,13,13101,2020,10,2,2,26057
53394620,13,13101,2020,10,0,0,9163
53394620,13,13101,2020,10,0,1,3129
53394620,13,13101,2020,10,0,2,5984
53394620,13,13101,2020,10,1,0,34139
53394620,13,13101,2020,10,1,1,5011
53394620,13,13101,2020,10,1,2,18848
53394620,13,13101,2020,10,2,0,26888
53394620,13,13101,2020,10,2,1,4465
53394620,13,13101,2020,10,2,2,15113
53394621,13,13101,2020,10,0,0,44074
