mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2019,08,0,0,13457
53394519,13,13101,2019,08,0,1,5610
53394519,13,13101,2019,08,0,2,9019
53394519,13,13101,2019,08,1,0,62244
53394519,13,13101,2019,08,1,1,8828
53394519,13,13101,2019,08,1,2,33468
53394519,13,13101,2019,08,2,0,46506
53394519,13,13101,2019,08,2,1,7790
53394519,13,13101,2019,08,2,2,25581
53394528,13,13101,2019,08,0,0,24737
53394528,13,13101,2019,08,0,1,13004
53394528,13,13101,2019,08,0,2,18832
53394528,13,13101,2019,08,1,0,95862
53394528,13,13101,2019,08,1,1,17484
53394528,13,13101,2019,08,1,2,56675
53394528,13,13101,2019,08,2,0,72919
53394528,13,13101,2019,08,2,1,16038
53394528,13,13101,2019,08,2,2,44468
53394529,13,13101,2019,08,0,0,13601
53394529,13,13101,2019,08,0,1,7478
53394529,13,13101,2019,08,0,2,10180
53394529,13,13101,2019,08,1,0,59819
53394529,13,13101,2019,08,1,1,9765
53394529,13,13101,2019,08,1,2,33042
53394529,13,13101,2019,08,2,0,44910
53394529,13,13101,2019,08,2,1,9027
53394529,13,13101,2019,08,2,2,25667
53394539,13,13101,2019,08,0,0,21883
53394539,13,13101,2019,08,0,1,9035
53394539,13,13101,2019,08,0,2,14860
53394539,13,13101,2019,08,1,0,78523
53394539,13,13101,2019,08,1,1,12684
53394539,13,13101,2019,08,1,2,43353
53394539,13,13101,2019,08,2,0,60252
53394539,13,13101,2019,08,2,1,11507
53394539,13,13101,2019,08,2,2,34161
53394600,13,13101,2019,08,0,0,62969
53394600,13,13101,2019,08,0,1,25474
53394600,13,13101,2019,08,0,2,45362
53394600,13,13101,2019,08,1,0,227358
53394600,13,13101,2019,08,1,1,32895
53394600,13,13101,2019,08,1,2,138044
53394600,13,13101,2019,08,2,0,174329
53394600,13,13101,2019,08,2,1,30501
53394600,13,13101,2019,08,2,2,108147
53394610,13,13101,2019,08,0,0,15020
53394610,13,13101,2019,08,0,1,2938
53394610,13,13101,2019,08,0,2,8372
53394610,13,13101,2019,08,1,0,77516
53394610,13,13101,2019,08,1,1,7027
53394610,13,13101,2019,08,1,2,40590
53394610,13,13101,2019,08,2,0,57356
53394610,13,13101,2019,08,2,1,5708
53394610,13,13101,2019,08,2,2,30197
53394620,13,13101,2019,08,0,0,11171
53394620,13,13101,2019,08,0,1,3170
53394620,13,13101,2019,08,0,2,6716
53394620,13,13101,2019,08,1,0,47587
53394620,13,13101,2019,08,1,1,5284
53394620,13,13101,2019,08,1,2,25201
53394620,13,13101,2019,08,2,0,35840
53394620,13,13101,2019,08,2,1,4602
53394620,13,13101,2019,08,2,2,19238
53394621,13,13101,2019,08,0,0,53379
53394621,13,13101,2019,08,0,1,16987
53394621,13,13101,2019,08,0,2,34128
53394621,13,13101,2019,08,1,0,309315
53394621,13,13101,2019,08,1,1,30143
53394621,13,13101,2019,08,1,2,164238
53394621,13,13101,2019,08,2,0,226755
53394621,13,13101,2019,08,2,1,25899
53394621,13,13101,2019,08,2,2,122267
53394630,13,13101,2019,08,0,0,37219
53394630,13,13101,2019,08,0,1,11883
53394630,13,13101,2019,08,0,2,23001
53394630,13,13101,2019,08,1,0,140790
53394630,13,13101,2019,08,1,1,18219
53394630,13,13101,2019,08,1,2,76090
53394630,13,13101,2019,08,2,0,107380
53394630,13,13101,2019,08,2,1,16175
53394630,13,13101,2019,08,2,2,58965
53394631,13,13101,2019,08,0,0,88202
53394631,13,13101,2019,08,0,1,28632
53394631,13,13101,2019,08,0,2,59133
53394631,13,13101,2019,08,1,0,203051
53394631,13,13101,2019,08,1,1,33896
53394631,13,13101,2019,08,1,2,123620
53394631,13,13101,2019,08,2,0,166003
53394631,13,13101,2019,08,2,1,32198
53394631,13,13101,2019,08,2,2,102817
53394632,13,13101,2019,08,0,0,35771
53394632,13,13101,2019,08,0,1,26660
53394632,13,13101,2019,08,0,2,31482
53394632,13,13101,2019,08,1,0,100939
53394632,13,13101,2019,08,1,1,30418
53394632,13,13101,2019,08,1,2,66463
53394632,13,13101,2019,08,2,0,79917
53394632,13,13101,2019,08,2,1,29206
53394632,13,13101,2019,08,2,2,55179
53393671,13,13102,2019,08,0,0,573
53393671,13,13102,2019,08,0,1,234
53393671,13,13102,2019,08,0,2,397
53393671,13,13102,2019,08,1,0,894
53393671,13,13102,2019,08,1,1,194
53393671,13,13102,2019,08,1,2,510
53393671,13,13102,2019,08,2,0,791
53393671,13,13102,2019,08,2,1,207
53393671,13,13102,2019,08,2,2,473
53393681,13,13102,2019,08,0,0,8693
53393681,13,13102,2019,08,0,1,9775
53393681,13,13102,2019,08,0,2,9319
53393681,13,13102,2019,08,1,0,15575
53393681,13,13102,2019,08,1,1,9883
53393681,13,13102,2019,08,1,2,12330
53393681,13,13102,2019,08,2,0,13355
53393681,13,13102,2019,08,2,1,9848
53393681,13,13102,2019,08,2,2,11359
53393682,13,13102,2019,08,0,0,13548
53393682,13,13102,2019,08,0,1,12561
53393682,13,13102,2019,08,0,2,12712
53393682,13,13102,2019,08,1,0,60078
53393682,13,13102,2019,08,1,1,14503
53393682,13,13102,2019,08,1,2,34753
53393682,13,13102,2019,08,2,0,45069
53393682,13,13102,2019,08,2,1,13877
53393682,13,13102,2019,08,2,2,27643
53393691,13,13102,2019,08,0,0,15136
53393691,13,13102,2019,08,0,1,6533
53393691,13,13102,2019,08,0,2,9797
53393691,13,13102,2019,08,1,0,55649
53393691,13,13102,2019,08,1,1,9676
53393691,13,13102,2019,08,1,2,30212
53393691,13,13102,2019,08,2,0,42581
53393691,13,13102,2019,08,2,1,8662
53393691,13,13102,2019,08,2,2,23627
53393692,13,13102,2019,08,0,0,21170
53393692,13,13102,2019,08,0,1,19365
53393692,13,13102,2019,08,0,2,20788
53393692,13,13102,2019,08,1,0,33146
53393692,13,13102,2019,08,1,1,21680
53393692,13,13102,2019,08,1,2,28353
53393692,13,13102,2019,08,2,0,29283
53393692,13,13102,2019,08,2,1,20933
53393692,13,13102,2019,08,2,2,25912
53394601,13,13102,2019,08,0,0,111170
53394601,13,13102,2019,08,0,1,31009
53394601,13,13102,2019,08,0,2,65765
53394601,13,13102,2019,08,1,0,200488
53394601,13,13102,2019,08,1,1,36720
53394601,13,13102,2019,08,1,2,118753
53394601,13,13102,2019,08,2,0,171675
53394601,13,13102,2019,08,2,1,34878
53394601,13,13102,2019,08,2,2,101660
53394602,13,13102,2019,08,0,0,19631
53394602,13,13102,2019,08,0,1,19609
53394602,13,13102,2019,08,0,2,19587
53394602,13,13102,2019,08,1,0,71315
53394602,13,13102,2019,08,1,1,23298
53394602,13,13102,2019,08,1,2,44501
53394602,13,13102,2019,08,2,0,54643
53394602,13,13102,2019,08,2,1,22108
53394602,13,13102,2019,08,2,2,36464
53394611,13,13102,2019,08,0,0,124799
53394611,13,13102,2019,08,0,1,28800
53394611,13,13102,2019,08,0,2,76562
53394611,13,13102,2019,08,1,0,347263
53394611,13,13102,2019,08,1,1,40952
53394611,13,13102,2019,08,1,2,196429
53394611,13,13102,2019,08,2,0,275500
53394611,13,13102,2019,08,2,1,37032
53394611,13,13102,2019,08,2,2,157763
53394612,13,13102,2019,08,0,0,27713
53394612,13,13102,2019,08,0,1,19586
53394612,13,13102,2019,08,0,2,23207
53394612,13,13102,2019,08,1,0,144230
53394612,13,13102,2019,08,1,1,27626
53394612,13,13102,2019,08,1,2,82595
53394612,13,13102,2019,08,2,0,106644
53394612,13,13102,2019,08,2,1,25033
53394612,13,13102,2019,08,2,2,63438
53394622,13,13102,2019,08,0,0,35313
53394622,13,13102,2019,08,0,1,27594
53394622,13,13102,2019,08,0,2,31067
53394622,13,13102,2019,08,1,0,137098
53394622,13,13102,2019,08,1,1,33312
53394622,13,13102,2019,08,1,2,82126
53394622,13,13102,2019,08,2,0,104264
53394622,13,13102,2019,08,2,1,31467
53394622,13,13102,2019,08,2,2,65656
53393558,13,13103,2019,08,0,0,34750
53393558,13,13103,2019,08,0,1,30996
53393558,13,13103,2019,08,0,2,31955
53393558,13,13103,2019,08,1,0,53861
53393558,13,13103,2019,08,1,1,29805
53393558,13,13103,2019,08,1,2,41549
53393558,13,13103,2019,08,2,0,47696
53393558,13,13103,2019,08,2,1,30189
53393558,13,13103,2019,08,2,2,38454
53393559,13,13103,2019,08,0,0,39504
53393559,13,13103,2019,08,0,1,15835
53393559,13,13103,2019,08,0,2,29157
53393559,13,13103,2019,08,1,0,207520
53393559,13,13103,2019,08,1,1,26295
53393559,13,13103,2019,08,1,2,118541
53393559,13,13103,2019,08,2,0,153321
53393559,13,13103,2019,08,2,1,22921
53393559,13,13103,2019,08,2,2,89708
53393567,13,13103,2019,08,0,0,22852
53393567,13,13103,2019,08,0,1,15779
53393567,13,13103,2019,08,0,2,19426
53393567,13,13103,2019,08,1,0,41282
53393567,13,13103,2019,08,1,1,17229
53393567,13,13103,2019,08,1,2,29777
53393567,13,13103,2019,08,2,0,35337
53393567,13,13103,2019,08,2,1,16761
53393567,13,13103,2019,08,2,2,26438
53393568,13,13103,2019,08,0,0,12198
53393568,13,13103,2019,08,0,1,11794
53393568,13,13103,2019,08,0,2,11691
53393568,13,13103,2019,08,1,0,13429
53393568,13,13103,2019,08,1,1,11729
53393568,13,13103,2019,08,1,2,12359
53393568,13,13103,2019,08,2,0,13032
53393568,13,13103,2019,08,2,1,11750
53393568,13,13103,2019,08,2,2,12144
53393569,13,13103,2019,08,0,0,15110
53393569,13,13103,2019,08,0,1,12664
53393569,13,13103,2019,08,0,2,14039
53393569,13,13103,2019,08,1,0,69147
53393569,13,13103,2019,08,1,1,16079
53393569,13,13103,2019,08,1,2,40685
53393569,13,13103,2019,08,2,0,51716
53393569,13,13103,2019,08,2,1,14977
53393569,13,13103,2019,08,2,2,32090
53393578,13,13103,2019,08,0,0,14721
53393578,13,13103,2019,08,0,1,14759
53393578,13,13103,2019,08,0,2,14601
53393578,13,13103,2019,08,1,0,27101
53393578,13,13103,2019,08,1,1,15474
53393578,13,13103,2019,08,1,2,20815
53393578,13,13103,2019,08,2,0,23108
53393578,13,13103,2019,08,2,1,15243
53393578,13,13103,2019,08,2,2,18810
53393579,13,13103,2019,08,0,0,26786
53393579,13,13103,2019,08,0,1,16282
53393579,13,13103,2019,08,0,2,21376
53393579,13,13103,2019,08,1,0,124785
53393579,13,13103,2019,08,1,1,22289
53393579,13,13103,2019,08,1,2,73007
53393579,13,13103,2019,08,2,0,93172
53393579,13,13103,2019,08,2,1,20351
53393579,13,13103,2019,08,2,2,56352
53393588,13,13103,2019,08,0,0,19263
53393588,13,13103,2019,08,0,1,14933
53393588,13,13103,2019,08,0,2,17795
53393588,13,13103,2019,08,1,0,23414
53393588,13,13103,2019,08,1,1,15275
53393588,13,13103,2019,08,1,2,19713
53393588,13,13103,2019,08,2,0,22075
53393588,13,13103,2019,08,2,1,15165
53393588,13,13103,2019,08,2,2,19095
53393589,13,13103,2019,08,0,0,19005
53393589,13,13103,2019,08,0,1,15201
53393589,13,13103,2019,08,0,2,17021
53393589,13,13103,2019,08,1,0,59095
53393589,13,13103,2019,08,1,1,17301
53393589,13,13103,2019,08,1,2,36390
53393589,13,13103,2019,08,2,0,46162
53393589,13,13103,2019,08,2,1,16624
53393589,13,13103,2019,08,2,2,30142
53393597,13,13103,2019,08,0,0,20272
53393597,13,13103,2019,08,0,1,11773
53393597,13,13103,2019,08,0,2,15491
53393597,13,13103,2019,08,1,0,35745
53393597,13,13103,2019,08,1,1,12636
53393597,13,13103,2019,08,1,2,24139
53393597,13,13103,2019,08,2,0,30754
53393597,13,13103,2019,08,2,1,12358
53393597,13,13103,2019,08,2,2,21349
53393598,13,13103,2019,08,0,0,47083
53393598,13,13103,2019,08,0,1,24879
53393598,13,13103,2019,08,0,2,35052
53393598,13,13103,2019,08,1,0,95063
53393598,13,13103,2019,08,1,1,24528
53393598,13,13103,2019,08,1,2,59190
53393598,13,13103,2019,08,2,0,79585
53393598,13,13103,2019,08,2,1,24641
53393598,13,13103,2019,08,2,2,51404
53393599,13,13103,2019,08,0,0,24061
53393599,13,13103,2019,08,0,1,12171
53393599,13,13103,2019,08,0,2,17663
53393599,13,13103,2019,08,1,0,119215
53393599,13,13103,2019,08,1,1,18833
53393599,13,13103,2019,08,1,2,64191
53393599,13,13103,2019,08,2,0,88520
53393599,13,13103,2019,08,2,1,16684
53393599,13,13103,2019,08,2,2,49182
53393650,13,13103,2019,08,0,0,6832
53393650,13,13103,2019,08,0,1,7741
53393650,13,13103,2019,08,0,2,7512
53393650,13,13103,2019,08,1,0,10286
53393650,13,13103,2019,08,1,1,7530
53393650,13,13103,2019,08,1,2,8842
53393650,13,13103,2019,08,2,0,9172
53393650,13,13103,2019,08,2,1,7598
53393650,13,13103,2019,08,2,2,8413
53393651,13,13103,2019,08,0,0,14813
53393651,13,13103,2019,08,0,1,3500
53393651,13,13103,2019,08,0,2,8419
53393651,13,13103,2019,08,1,0,13028
53393651,13,13103,2019,08,1,1,3065
53393651,13,13103,2019,08,1,2,7529
53393651,13,13103,2019,08,2,0,13604
53393651,13,13103,2019,08,2,1,3205
53393651,13,13103,2019,08,2,2,7816
53393660,13,13103,2019,08,0,0,7308
53393660,13,13103,2019,08,0,1,7081
53393660,13,13103,2019,08,0,2,7129
53393660,13,13103,2019,08,1,0,17020
53393660,13,13103,2019,08,1,1,7629
53393660,13,13103,2019,08,1,2,11774
53393660,13,13103,2019,08,2,0,13887
53393660,13,13103,2019,08,2,1,7453
53393660,13,13103,2019,08,2,2,10276
53393661,13,13103,2019,08,0,0,1053
53393661,13,13103,2019,08,0,1,369
53393661,13,13103,2019,08,0,2,820
53393661,13,13103,2019,08,1,0,1239
53393661,13,13103,2019,08,1,1,350
53393661,13,13103,2019,08,1,2,828
53393661,13,13103,2019,08,2,0,1179
53393661,13,13103,2019,08,2,1,356
53393661,13,13103,2019,08,2,2,825
53393670,13,13103,2019,08,0,0,17763
53393670,13,13103,2019,08,0,1,15186
53393670,13,13103,2019,08,0,2,16091
53393670,13,13103,2019,08,1,0,58024
53393670,13,13103,2019,08,1,1,18249
53393670,13,13103,2019,08,1,2,36011
53393670,13,13103,2019,08,2,0,45036
53393670,13,13103,2019,08,2,1,17261
53393670,13,13103,2019,08,2,2,29585
53393680,13,13103,2019,08,0,0,31860
53393680,13,13103,2019,08,0,1,17409
53393680,13,13103,2019,08,0,2,24668
53393680,13,13103,2019,08,1,0,163172
53393680,13,13103,2019,08,1,1,25789
53393680,13,13103,2019,08,1,2,91498
53393680,13,13103,2019,08,2,0,120813
53393680,13,13103,2019,08,2,1,23086
53393680,13,13103,2019,08,2,2,69940
53393690,13,13103,2019,08,0,0,45067
53393690,13,13103,2019,08,0,1,24612
53393690,13,13103,2019,08,0,2,35481
53393690,13,13103,2019,08,1,0,195438
53393690,13,13103,2019,08,1,1,33795
53393690,13,13103,2019,08,1,2,115159
53393690,13,13103,2019,08,2,0,146931
53393690,13,13103,2019,08,2,1,30833
53393690,13,13103,2019,08,2,2,89457
53394507,13,13103,2019,08,0,0,22697
53394507,13,13103,2019,08,0,1,8833
53394507,13,13103,2019,08,0,2,20436
53394507,13,13103,2019,08,1,0,58993
53394507,13,13103,2019,08,1,1,10994
53394507,13,13103,2019,08,1,2,35642
53394507,13,13103,2019,08,2,0,47285
53394507,13,13103,2019,08,2,1,10297
53394507,13,13103,2019,08,2,2,30737
53394508,13,13103,2019,08,0,0,26181
53394508,13,13103,2019,08,0,1,19189
53394508,13,13103,2019,08,0,2,22615
53394508,13,13103,2019,08,1,0,83905
53394508,13,13103,2019,08,1,1,23180
53394508,13,13103,2019,08,1,2,51286
53394508,13,13103,2019,08,2,0,65284
53394508,13,13103,2019,08,2,1,21892
53394508,13,13103,2019,08,2,2,42037
