mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2019,07,0,0,14142
53394519,13,13101,2019,07,0,1,5609
53394519,13,13101,2019,07,0,2,9312
53394519,13,13101,2019,07,1,0,65052
53394519,13,13101,2019,07,1,1,8776
53394519,13,13101,2019,07,1,2,35080
53394519,13,13101,2019,07,2,0,50272
53394519,13,13101,2019,07,2,1,7857
53394519,13,13101,2019,07,2,2,27599
53394528,13,13101,2019,07,0,0,27809
53394528,13,13101,2019,07,0,1,12994
53394528,13,13101,2019,07,0,2,19985
53394528,13,13101,2019,07,1,0,104765
53394528,13,13101,2019,07,1,1,18588
53394528,13,13101,2019,07,1,2,61627
53394528,13,13101,2019,07,2,0,82423
53394528,13,13101,2019,07,2,1,16964
53394528,13,13101,2019,07,2,2,49538
53394529,13,13101,2019,07,0,0,15224
53394529,13,13101,2019,07,0,1,7962
53394529,13,13101,2019,07,0,2,11022
53394529,13,13101,2019,07,1,0,64614
53394529,13,13101,2019,07,1,1,10070
53394529,13,13101,2019,07,1,2,35491
53394529,13,13101,2019,07,2,0,50275
53394529,13,13101,2019,07,2,1,9458
53394529,13,13101,2019,07,2,2,28387
53394539,13,13101,2019,07,0,0,24821
53394539,13,13101,2019,07,0,1,9540
53394539,13,13101,2019,07,0,2,16364
53394539,13,13101,2019,07,1,0,86810
53394539,13,13101,2019,07,1,1,12909
53394539,13,13101,2019,07,1,2,47796
53394539,13,13101,2019,07,2,0,68813
53394539,13,13101,2019,07,2,1,11931
53394539,13,13101,2019,07,2,2,38671
53394600,13,13101,2019,07,0,0,66294
53394600,13,13101,2019,07,0,1,26601
53394600,13,13101,2019,07,0,2,47148
53394600,13,13101,2019,07,1,0,245829
53394600,13,13101,2019,07,1,1,34515
53394600,13,13101,2019,07,1,2,149996
53394600,13,13101,2019,07,2,0,193706
53394600,13,13101,2019,07,2,1,32217
53394600,13,13101,2019,07,2,2,120137
53394610,13,13101,2019,07,0,0,16171
53394610,13,13101,2019,07,0,1,3444
53394610,13,13101,2019,07,0,2,9099
53394610,13,13101,2019,07,1,0,85238
53394610,13,13101,2019,07,1,1,7230
53394610,13,13101,2019,07,1,2,44349
53394610,13,13101,2019,07,2,0,65187
53394610,13,13101,2019,07,2,1,6131
53394610,13,13101,2019,07,2,2,34115
53394620,13,13101,2019,07,0,0,12923
53394620,13,13101,2019,07,0,1,3454
53394620,13,13101,2019,07,0,2,7398
53394620,13,13101,2019,07,1,0,50241
53394620,13,13101,2019,07,1,1,5397
53394620,13,13101,2019,07,1,2,26478
53394620,13,13101,2019,07,2,0,39407
53394620,13,13101,2019,07,2,1,4833
53394620,13,13101,2019,07,2,2,20939
53394621,13,13101,2019,07,0,0,56493
53394621,13,13101,2019,07,0,1,17093
53394621,13,13101,2019,07,0,2,35488
53394621,13,13101,2019,07,1,0,330771
53394621,13,13101,2019,07,1,1,31413
53394621,13,13101,2019,07,1,2,175981
53394621,13,13101,2019,07,2,0,251142
53394621,13,13101,2019,07,2,1,27256
53394621,13,13101,2019,07,2,2,135193
53394630,13,13101,2019,07,0,0,41505
53394630,13,13101,2019,07,0,1,12500
53394630,13,13101,2019,07,0,2,24959
53394630,13,13101,2019,07,1,0,154554
53394630,13,13101,2019,07,1,1,18953
53394630,13,13101,2019,07,1,2,83333
53394630,13,13101,2019,07,2,0,121734
53394630,13,13101,2019,07,2,1,17079
53394630,13,13101,2019,07,2,2,66386
53394631,13,13101,2019,07,0,0,94174
53394631,13,13101,2019,07,0,1,29699
53394631,13,13101,2019,07,0,2,60949
53394631,13,13101,2019,07,1,0,218834
53394631,13,13101,2019,07,1,1,34412
53394631,13,13101,2019,07,1,2,132546
53394631,13,13101,2019,07,2,0,182643
